Account Type,Category,Account,Month,Amount
Brokerage,Taxable,Fidelity Indiviudal,12/1/2024 0:00,
Brokerage,Taxable,RobinHood,12/1/2024 0:00,
Physical Assets,Bullion,Silver,12/1/2024 0:00,
Physical Assets,Bullion,Gold,12/1/2024 0:00,
Cash,On Hand,Cash,12/1/2024 0:00,
Cash,Checkings,Bank X,12/1/2024 0:00,
Cash,Checkings,Bank Y,12/1/2024 0:00,
Liability,Credit Card,Card X,12/1/2024 0:00,
Liability,Credit Card,Card Y,12/1/2024 0:00,
Physical Assets,Real Estate,Property X,12/1/2024 0:00,
Retirement,Tax-Advantaged,401k,12/1/2024 0:00,
Retirement,Tax-Advantaged,Roth IRA,12/1/2024 0:00,
Retirement,Tax-Advantaged,HSA,12/1/2024 0:00,
Cash,Savings,Bank X,12/1/2024 0:00,
Cash,HYSA,Bank A,12/1/2024 0:00,
Brokerage,Taxable,Fidelity Indiviudal,1/1/2025 0:00,
Brokerage,Taxable,RobinHood,1/1/2025 0:00,
Physical Assets,Bullion,Silver,1/1/2025 0:00,
Physical Assets,Bullion,Gold,1/1/2025 0:00,
Cash,On Hand,Cash,1/1/2025 0:00,
Cash,Checkings,Bank X,1/1/2025 0:00,
Cash,Checkings,Bank Y,1/1/2025 0:00,
Liability,Credit Card,Card X,1/1/2025 0:00,
Liability,Credit Card,Card Y,1/1/2025 0:00,
Physical Assets,Real Estate,Property X,1/1/2025 0:00,
Retirement,Tax-Advantaged,401k,1/1/2025 0:00,
Retirement,Tax-Advantaged,Roth IRA,1/1/2025 0:00,
Retirement,Tax-Advantaged,HSA,1/1/2025 0:00,
Cash,Savings,Bank X,1/1/2025 0:00,
Cash,HYSA,Bank A,1/1/2025 0:00,
Brokerage,Taxable,Fidelity Indiviudal,2/1/2025 0:00,
Brokerage,Taxable,RobinHood,2/1/2025 0:00,
Physical Assets,Bullion,Silver,2/1/2025 0:00,
Physical Assets,Bullion,Gold,2/1/2025 0:00,
Cash,On Hand,Cash,2/1/2025 0:00,
Cash,Checkings,Bank X,2/1/2025 0:00,
Cash,Checkings,Bank Y,2/1/2025 0:00,
Liability,Credit Card,Card X,2/1/2025 0:00,
Liability,Credit Card,Card Y,2/1/2025 0:00,
Physical Assets,Real Estate,Property X,2/1/2025 0:00,
Retirement,Tax-Advantaged,401k,2/1/2025 0:00,
Retirement,Tax-Advantaged,Roth IRA,2/1/2025 0:00,
Retirement,Tax-Advantaged,HSA,2/1/2025 0:00,
Cash,Savings,Bank X,2/1/2025 0:00,
Cash,HYSA,Bank A,2/1/2025 0:00,
Brokerage,Taxable,Fidelity Indiviudal,3/1/2025 0:00,
Brokerage,Taxable,RobinHood,3/1/2025 0:00,
Physical Assets,Bullion,Silver,3/1/2025 0:00,
Physical Assets,Bullion,Gold,3/1/2025 0:00,
Cash,On Hand,Cash,3/1/2025 0:00,
Cash,Checkings,Bank X,3/1/2025 0:00,
Cash,Checkings,Bank Y,3/1/2025 0:00,
Liability,Credit Card,Card X,3/1/2025 0:00,
Liability,Credit Card,Card Y,3/1/2025 0:00,
Physical Assets,Real Estate,Property X,3/1/2025 0:00,
Retirement,Tax-Advantaged,401k,3/1/2025 0:00,
Retirement,Tax-Advantaged,Roth IRA,3/1/2025 0:00,
Retirement,Tax-Advantaged,HSA,3/1/2025 0:00,
Cash,Savings,Bank X,3/1/2025 0:00,
Cash,HYSA,Bank A,3/1/2025 0:00,
